record_name,event_index,time_s,sample,label
12821,1,468.656,117164,Initiate slow tilt up
12821,2,521.216,130304,Conclude slow tilt up
12821,3,729.244,182311,Initiate slow tilt down
12821,4,779.064,194766,Conclude slow tilt down
12821,5,1116.088,279022,Initiate rapid tilt up
12821,6,1117.948,279487,Conclude rapid tilt up
12821,7,1307.348,326837,Initiate rapid tilt down
12821,8,1308.724,327181,Conclude rapid tilt down
12821,9,1658.34,414585,Stand up
12821,10,1873.3,468325,Transition back to supine
12821,11,2189.584,547396,Initiate rapid tilt up
12821,12,2191.352,547838,Conclude rapid tilt up
12821,13,2368.776,592194,Initiate rapid tilt down
12821,14,2370.02,592505,Conclude rapid tilt down
12821,15,2687.008,671752,Stand up
12821,16,2875.368,718842,Transition back to supine
12821,17,3184.824,796206,Initiate slow tilt up
12821,18,3236.104,809026,Initiate slow tilt up
12821,19,3427.5,856875,Initiate slow tilt down
12821,20,3477.116,869279,Conclude slow tilt dow
